Number of flows,cheat,cheated
2,-0.06486486486486487,0.04451939291736931
3,0.06345332519829164,-0.013717805151175811
4,0.0,0.0
5,0.0069214762737594415,0.004230417680828991
6,0.01752831019428958,0.020141661987726614
7,-0.02442905611744342,-0.08904873116299333
8,-0.06168414030874543,-0.043361904727391
9,-0.01774725148290097,-0.005040379735259825
10,0.04099551519545306,-0.039959093524480696
11,0.0657080154116933,-0.022379297399929155
12,0.011146027480607676,-0.03504344181429039
13,0.13150871713281878,-0.03778875912965298
14,0.019402714656894107,-0.021606978576977603
15,0.02031901023026989,-0.008149069742335051
16,0.06059296880267104,-0.039630825006175194
17,-0.002840028816783557,0.012168141684542246
18,0.0030999329087617014,0.0852675387286306
19,0.13035518624680123,0.08825952743208622
20,-0.017815890800553305,-0.025871183214757863
21,0.02222645173366045,0.09302594931938453
22,0.09577830043975294,0.02382593382211232
23,-0.022003379243646315,0.029848096149858856
24,-0.022420004127039758,-0.008187883952062278
25,0.0026544588782959344,0.0022906198742785057
26,0.09548205898581015,-0.0354697682222023
27,0.039740721272606014,0.026447217117842352
28,0.05227638097262845,-0.009190329840915093
29,0.011437560771597096,-0.008920606015710895
30,0.007945459096465483,0.07988458213811435
2,-0.2833853624696497,0.3859234766178555
3,0.01040582726326743,0.004910714285714286
4,0.0,0.0
5,0.2671418619694482,-0.041765852983363244
6,0.11217641850639286,-0.00043108254111288064
7,-0.029219720045280412,0.026767997238673458
8,0.013623173541097888,-0.01172528420615607
9,0.0034986067348379366,-0.021653804176227854
10,-0.023185378597950685,0.06939979505779767
11,-0.019863882178223095,0.0199198454015762
12,0.18130288353155596,-0.034172180474523466
13,-0.011802448540436496,0.03865331688462143
14,-0.026685001147903068,0.030324502773162735
15,0.12755585940210354,-0.10145618718377013
16,-0.002240434186485514,0.0051975644545252785
17,-0.06604286361169018,-0.14744675143697591
18,-0.004763304378643519,0.0003368515409281409
19,0.11149079108368319,0.2847520998536942
20,-0.03249752331783838,0.012866880710688505
21,0.042060554560974225,-0.05276738573017334
22,-0.007984650977390676,-0.03970209870692725
23,0.019488901415899422,0.003894471912706903
24,0.18780357574827478,-0.11149300840434866
25,0.010397190389681258,-0.0021208189896899173
26,-0.023941986036480376,-0.149737273297868
27,0.018125272586277854,-0.023857253181244886
