time,DRFQ,PR,WRR
0,0,0,0
1,27,30,43
2,63,65,87
3,85,99,129
4,110,126,172
5,135,161,216
6,165,188,259
7,194,214,303
8,221,235,347
9,245,253,390
10,272,285,434
11,303,319,478
12,348,343,522
13,392,366,567
14,433,391,611
15,476,422,655
16,521,452,699
17,562,480,743
18,596,511,787
19,625,535,830
20,651,560,873
21,675,588,916
22,706,611,960
23,738,630,1003
24,775,660,1048
25,802,687,1092
26,826,713,1135
27,848,730,1179
28,869,755,1222
29,895,788,1267
30,919,816,1311
31,943,845,1357
32,965,878,1401
33,988,904,1445
Avg,29.939393939393938,27.393939393939394,43.78787878787879
