f_id,p_num,size,time,VST,VFT
2,0,197,0.031249284744262695,0,3
1,0,256,0.031249284744262695,0,4
1,1,256,0.046903371810913086,4,8
2,1,197,0.046903371810913086,4,7
2,2,197,0.049180030822753906,7,10
1,2,256,0.05020594596862793,8,12
2,3,197,0.05217719078063965,10,13
1,3,256,0.05420184135437012,12,16
2,4,197,0.05517697334289551,13,16
2,5,197,0.058182716369628906,16,19
1,4,256,0.058182716369628906,16,20
2,6,197,0.06117677688598633,19,22
2,7,197,0.06117677688598633,22,25
1,5,256,0.06219196319580078,22,26
1,6,256,0.06620550155639648,26,30
1,7,256,0.06620550155639648,30,34
ju
