F11,F12,F21,F22,Sec,DRFQ_f1,DRFQ_f2,PR(STF)_f1,PR(STF)_f2,PR(WRR)_f1,PR(WRR)_f2,f1Cheat_PR(STF)_f1,f1Cheat_PR(STF)_f2,f2Cheat_PR(STF)_f1,f2Cheat_PR(STF)_f2,f1_max_cheat,f1_max_cheat,f1_max_cheat,f1_max_cheat,f2_max_cheat,f2_max_cheat,f2_max_cheat,f2_max_cheat
10,13,2,11,18,429,506,436,516,576,682,436,516,436,516,1,13,2,11,10,13,1,11
10,28,1,10,29,262,733,247,692,275,773,247,692,247,692,1,28,1,10,10,28,1,10
10,3,12,5,16,413,345,542,452,735,612,542,452,542,452,10,1,12,5,10,3,12,1
10,30,3,11,33,263,717,250,684,361,984,250,684,250,684,1,30,3,11,10,30,1,11
11,17,8,14,20,401,487,435,528,550,667,437,526,435,528,12,17,8,14,11,17,1,14
11,2,3,30,26,719,263,663,221,1456,485,727,157,536,348,11,6,3,30,11,2,16,30
11,21,24,25,39,482,404,530,445,731,613,530,445,530,445,1,21,24,25,11,21,1,25
11,6,3,25,27,558,245,788,189,1536,368,788,189,596,381,11,6,3,25,11,6,17,25
11,6,6,20,21,466,256,707,252,1196,427,709,250,537,422,11,7,6,20,11,6,14,20
12,1,14,15,21,421,336,513,439,761,653,513,439,381,571,12,1,14,15,12,1,8,15
12,21,10,2,12,168,354,442,530,439,527,442,530,247,725,12,21,10,2,12,21,10,7
12,27,22,21,27,402,493,432,555,500,644,452,535,346,641,26,27,22,21,12,27,22,14
12,4,13,23,22,511,266,546,438,609,488,704,280,530,454,12,9,13,23,12,4,14,23
13,19,29,3,22,453,296,673,302,680,305,725,250,530,445,10,19,29,3,13,19,29,22
13,26,16,3,21,233,379,493,492,553,553,515,470,295,690,14,26,16,3,13,26,16,11
15,20,10,14,29,351,501,405,579,538,770,405,579,405,579,1,20,10,14,15,20,1,14
15,22,13,10,17,234,396,308,675,349,767,412,571,313,670,18,22,13,10,15,22,13,10
15,23,13,14,24,345,567,372,611,490,805,372,611,371,612,1,23,13,14,15,23,1,14
15,25,13,11,26,236,454,305,694,409,929,375,624,289,711,23,25,13,11,15,25,13,10
15,7,8,6,27,256,480,342,643,606,1137,380,605,342,643,15,6,8,6,15,7,8,1
15,9,1,23,24,466,303,694,271,1059,414,716,249,513,452,15,8,1,23,15,9,17,23
16,1,5,1,30,193,620,237,761,340,1089,411,587,237,761,16,7,5,1,16,1,5,1
16,14,3,18,20,472,419,541,421,566,440,641,321,481,481,16,9,3,18,16,14,16,18
16,24,10,8,20,237,570,249,748,346,1037,366,631,253,744,12,24,10,8,16,24,10,8
16,26,27,20,34,479,461,433,563,503,653,560,436,437,559,21,26,27,20,16,26,27,20
17,4,25,2,42,502,341,585,397,847,575,585,397,585,397,17,1,25,2,17,4,25,1
17,9,10,20,19,431,367,546,437,580,464,612,371,444,539,17,12,10,20,17,9,14,20
18,11,20,13,30,503,452,519,467,680,612,519,467,519,467,18,1,20,13,18,11,20,1
18,12,12,8,33,395,592,361,542,578,866,361,542,361,542,18,1,12,8,18,12,12,1
18,2,15,29,23,380,235,453,518,540,617,676,295,451,520,18,12,15,29,18,2,15,29
18,24,18,4,43,400,534,489,489,725,725,550,428,381,597,14,24,18,4,18,24,18,15
18,24,30,4,36,418,334,623,373,796,478,695,301,505,491,13,24,30,4,18,24,30,24
18,25,16,15,26,237,370,363,604,424,707,387,580,336,631,24,25,16,15,18,25,16,13
19,1,5,17,16,236,264,399,600,298,447,598,401,321,678,19,11,5,17,19,1,9,17
19,16,8,8,14,147,350,286,679,194,461,286,679,259,706,19,1,8,8,19,16,7,8
19,19,20,8,31,510,485,502,477,767,729,612,367,502,477,12,19,20,8,19,19,20,1
19,22,1,4,20,149,824,120,665,158,872,120,665,120,665,1,22,1,4,19,22,1,4
19,3,21,13,37,487,441,511,463,719,650,511,463,511,463,19,1,21,13,19,3,21,1
19,30,21,8,42,404,577,485,439,760,687,485,439,325,599,19,30,21,8,19,30,21,16
2,14,21,28,26,635,317,648,323,652,326,648,323,647,324,1,14,21,28,2,14,1,28
2,21,15,2,11,225,315,406,594,303,443,567,433,276,724,11,21,15,2,2,21,15,8
20,5,23,9,28,442,385,529,460,645,560,529,460,529,460,20,1,23,9,20,5,23,1
20,7,15,23,19,370,322,415,553,444,591,581,387,399,569,20,15,15,23,20,7,14,23
21,17,11,17,30,328,406,495,496,600,600,506,485,413,578,21,16,11,17,21,17,15,17
